id,name,artists,album,danceability,energy,valence,tempo,duration_ms,popularity,explicit,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness
4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",0.551,0.645,0.508,128.665,271560,78,False,4,1,4,-13.093,0.0354,0.0031,0.00376,0.421
2QbCI7bCcqFlxYVUNHjr6Z,City Girl,The Jezabels,Prisoner,0.512,0.787,0.156,104.982,324301,3,False,2,0,3,-6.283,0.0284,0.00848,0.0411,0.116
2fzEIFwlNG5FzwOrxtTeOE,All You Need,The Jezabels,The Brink,0.572,0.555,0.344,120.017,298213,0,False,5,0,4,-7.731,0.0306,0.141,0.118,0.0778
0AsgnUUtH1qFHe2RiBv9DI,The Others,The Jezabels,The Others,0.538,0.897,0.47,141.03,261335,31,False,1,0,4,-8.067,0.0376,0.0207,0.0754,0.154
7C6NcqS3fNDXLgP5L2Kbgp,Just Like Heaven,The Cure,Greatest Hits,0.439,0.969,0.8,151.111,212133,0,False,9,1,4,-3.391,0.0469,0.015,5.47e-05,0.14
3udJxehBCZ27wRO9gSum4B,I Don’t Think I Can Do This Again (with Clairo),"Mura Masa, Clairo",I Don’t Think I Can Do This Again,0.58,0.434,0.536,139.082,221987,40,False,8,1,4,-10.708,0.0479,0.00738,0.000129,0.105
4wr8oaLpjzdXamuobDBUCH,Bad Caffeine,Charli Adams,Bad Caffeine,0.462,0.893,0.353,139.988,253018,0,False,1,0,4,-5.041,0.0585,0.00492,2.98e-06,0.157
6RtRxaZN5RMWFbeZW24oRx,hold on,flor,come out. you're hiding (deluxe),0.609,0.872,0.534,111.967,204774,46,False,8,1,4,-4.72,0.0447,0.0483,0.000971,0.119
4SccTh1QV0S7UjjCJR5dYP,Hurt Me,The Jezabels,She's So Hard,0.49,0.913,0.529,130.424,346120,35,False,0,0,4,-6.519,0.108,0.0869,0.118,0.0878
3TxKtkCNR1yQARsvHxvNnP,Tokyo Nights,"Digital Farm Animals, Shaun Frank, Dragonette",Tokyo Nights,0.556,0.671,0.252,105.057,243536,47,False,11,0,4,-6.366,0.0647,0.0319,0.000377,0.111
